cost_linear1,cost_linear2,cost_linear3,cost_linear4,cost_linear5,cost_linear6,cost_linear7,cost_linear8,cost_linear9,cost_linear10,cost_linear11,cost_linear12,cost_linear13,cost_linear14,cost_linear15,cost_linear16,cost_linear17,cost_linear18,cost_linear19,cost_linear20,cost_linear21,cost_linear22,cost_linear23,cost_linear24,cost_linear25,cost_linear26,cost_linear27,cost_linear28,cost_linear29,cost_linear30,cost_linear31,cost_linear32,cost_linear33,cost_linear34,cost_linear35,cost_linear36,cost_linear37,cost_linear38,cost_linear39,cost_linear40,cost_linear41,cost_linear42,cost_linear43,cost_linear44,cost_linear45,cost_linear46,cost_linear47,cost_linear48,cost_linear49,cost_linear50,cost_linear51,cost_linear52,cost_linear53,cost_linear54
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
30.61,35.03,40.85,25.63,9.67,18.96,26.0,33.22,49.68,88.61,16.91,12.16,25.2,19.5,71.9,66.9,34.5,36.4,22.2,19.88,19.99,18.87,25.98,28.79,13.69,17.71,31.36,19.66,19.45,19.65,26.01,28.05,27.06,23.08,25.06,25.64,15.63,31.06,23.65,21.56,29.98,28.94,27.01,31.53,18.65,19.07,50.6,46.69,49.95,50.66,11.36,31.55,29.66,28.43
